file,correct_prediction_percent
compute_int_0.gz.txt,29.81
compute_int_1.gz.txt,35.41
compute_int_2.gz.txt,35.68
compute_int_3.gz.txt,56.99
compute_int_4.gz.txt,17.12
compute_int_5.gz.txt,48.19
compute_int_6.gz.txt,45.51
compute_int_7.gz.txt,26.81
compute_int_8.gz.txt,36.91
compute_int_9.gz.txt,44.48
compute_int_10.gz.txt,33.37
compute_int_11.gz.txt,17.71
compute_int_12.gz.txt,51.02
compute_int_13.gz.txt,71.31
compute_int_14.gz.txt,55.36
compute_int_15.gz.txt,21.54
compute_int_16.gz.txt,45.02
compute_int_17.gz.txt,20.37
compute_int_18.gz.txt,44.03
compute_int_19.gz.txt,65.52



















